City_ID,City,Latitude,Longitude,Max Temperature (C),Humidity (%),Cloudiness (%),Wind Speed (m/sec),Country,Date
116,rio grande,-32.035,-52.0986,27.06,92,100,1.69,BR,1698524010
117,piti village,13.4626,144.6933,28.03,93,75,2.06,GU,1698524010
118,lebu,-37.6167,-73.65,11.2,83,87,8.57,CL,1698523787
119,richards bay,-28.783,32.0377,18.21,90,100,8.91,ZA,1698524010
120,udachny,66.4167,112.4,-19.33,98,47,3.61,RU,1698523845
121,severo-yeniseyskiy,60.3725,93.0408,-9.12,81,100,7.15,RU,1698524010
122,spring creek,40.7266,-115.5859,3.23,35,85,2.59,US,1698524011
123,ouadda,8.0777,22.4007,20.93,91,100,1.98,CF,1698524011
124,whitehorse,60.7161,-135.0538,-5.57,93,100,4.12,CA,1698524011
125,naze,28.3667,129.4833,19.19,63,0,4.77,JP,1698524011
126,avarua,-21.2078,-159.775,24.03,64,75,4.63,CK,1698524011
127,tura,25.5198,90.2201,19.21,84,0,1.79,IN,1698524011
128,along,28.1667,94.7667,15.98,84,3,0.76,IN,1698524012
129,klyuchi,52.2667,79.1667,-1.75,54,100,3.96,RU,1698524012
130,miquelon,47.0975,-56.3814,12.0,91,100,8.28,PM,1698524012
131,nuuk,64.1835,-51.7216,-3.66,80,40,6.71,GL,1698523976
132,nova vicosa,-17.8919,-39.3719,26.39,78,99,6.43,BR,1698524012
133,wailua homesteads,22.0669,-159.378,27.24,66,0,2.57,US,1698524012
134,ocher,57.8904,54.7202,-2.95,95,99,5.27,RU,1698524013
135,twon-brass,4.3151,6.2418,27.56,79,34,2.92,NG,1698524013
136,pacific grove,36.6177,-121.9166,21.42,62,0,5.81,US,1698524013
137,kourou,5.1552,-52.6478,32.03,71,33,5.37,GF,1698524013
138,khanpur,28.6453,70.6567,25.35,35,70,1.39,PK,1698524013
139,prince rupert,54.3161,-130.3201,7.05,73,0,2.06,CA,1698524013
140,port elizabeth,-33.918,25.5701,12.95,68,92,3.13,ZA,1698524013
141,jamestown,42.097,-79.2353,14.18,78,100,3.6,US,1698523856
142,egilsstadir,65.2653,-14.3948,-0.05,100,100,3.09,IS,1698524014
143,churapcha,62.0025,132.4325,-6.7,89,100,4.48,RU,1698524014
144,la passe,45.5549,-0.8967,19.13,85,100,10.17,FR,1698524014
145,invercargill,-46.4,168.35,9.45,89,61,1.79,NZ,1698524014
146,gulf shores,30.246,-87.7008,29.6,67,20,4.63,US,1698523804
147,cidreira,-30.1811,-50.2056,21.73,83,100,5.71,BR,1698524014
148,majuro,7.0897,171.3803,25.98,89,100,4.63,MH,1698524014
149,sao jose da coroa grande,-8.8978,-35.1478,26.19,68,96,4.52,BR,1698524015
150,sarandi,-23.4436,-51.8739,24.91,81,99,1.61,BR,1698523890
151,fortuna,40.5982,-124.1573,14.96,72,0,0.89,US,1698524015
152,hadibu,12.65,54.0333,25.91,78,99,3.06,YE,1698524015
153,yellowknife,62.456,-114.3525,1.34,85,40,8.75,CA,1698523938
154,sarangani,5.4033,125.4636,27.57,76,100,4.14,PH,1698524015
155,bilibino,68.0546,166.4372,-22.03,97,42,1.21,RU,1698524016
156,aasiaat,68.7098,-52.8699,-9.53,93,83,4.1,GL,1698524016
157,jayapura,-2.5333,140.7,28.66,92,79,1.68,ID,1698524016
158,dragasani,44.65,24.2667,14.21,63,48,2.2,RO,1698524016
159,ust-nera,64.5667,143.2,-17.66,99,100,1.39,RU,1698524016
160,shindand,33.3029,62.1474,20.19,31,9,1.06,AF,1698524016
161,morogoro,-6.8167,37.6667,22.89,87,80,2.01,TZ,1698524016
162,vilyuysk,63.7553,121.6247,-5.56,91,100,2.24,RU,1698524017
163,remire-montjoly,4.9167,-52.2667,32.02,62,0,6.69,GF,1698524017
164,madinat ash shamal,26.1293,51.2009,28.08,57,0,2.83,QA,1698524017
165,cole harbour,44.6724,-63.4751,20.66,79,0,4.12,CA,1698524017
